Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Inquery,Chrome 132.0.0.0,,,2025-01-22 11:16:10,2025-01-22 11:18:05,1m - 54.909s,PASSED
,,,,,,,
Test Cases/Inquery/Data User Admin/Cari Data user Admin,Chrome 132.0.0.0,,,2025-01-22 11:16:10,2025-01-22 11:16:30,19.925s,PASSED
"click(findTestObject(""Menu Utama/Button Inquiry""), CONTINUE_ON_FAILURE)",Chrome 132.0.0.0,,,2025-01-22 11:16:10,2025-01-22 11:16:12,1.390s,PASSED
delay(2),Chrome 132.0.0.0,,,2025-01-22 11:16:12,2025-01-22 11:16:14,2.021s,PASSED
takeScreenshot(),Chrome 132.0.0.0,,,2025-01-22 11:16:14,2025-01-22 11:16:14,0.366s,PASSED
"click(findTestObject(""Inquery/Button Data User Admin""), CONTINUE_ON_FAILURE)",Chrome 132.0.0.0,,,2025-01-22 11:16:14,2025-01-22 11:16:15,0.603s,PASSED
"setText(findTestObject(""Inquery/Data user Admin/Input Username""), ""admin"", CONTINUE_ON_FAILURE)",Chrome 132.0.0.0,,,2025-01-22 11:16:15,2025-01-22 11:16:15,0.627s,PASSED
"setText(findTestObject(""Inquery/Data user Admin/Input Nama""), ""admin"", CONTINUE_ON_FAILURE)",Chrome 132.0.0.0,,,2025-01-22 11:16:15,2025-01-22 11:16:16,0.643s,PASSED
delay(2),Chrome 132.0.0.0,,,2025-01-22 11:16:16,2025-01-22 11:16:18,2.004s,PASSED
takeScreenshot(),Chrome 132.0.0.0,,,2025-01-22 11:16:18,2025-01-22 11:16:18,0.366s,PASSED
"click(findTestObject(""Inquery/Data user Admin/Button Cari""), CONTINUE_ON_FAILURE)",Chrome 132.0.0.0,,,2025-01-22 11:16:18,2025-01-22 11:16:19,0.565s,PASSED
delay(2),Chrome 132.0.0.0,,,2025-01-22 11:16:19,2025-01-22 11:16:21,2.008s,PASSED
takeScreenshot(),Chrome 132.0.0.0,,,2025-01-22 11:16:21,2025-01-22 11:16:21,0.383s,PASSED
"click(findTestObject(""Inquery/Button Export Excel""), CONTINUE_ON_FAILURE)",Chrome 132.0.0.0,,,2025-01-22 11:16:21,2025-01-22 11:16:22,0.500s,PASSED
"delay(2, CONTINUE_ON_FAILURE)",Chrome 132.0.0.0,,,2025-01-22 11:16:22,2025-01-22 11:16:24,2.014s,PASSED
takeScreenshot(),Chrome 132.0.0.0,,,2025-01-22 11:16:24,2025-01-22 11:16:24,0.377s,PASSED
"click(findTestObject(""Inquery/Data user Admin/Button Detail  Username""), CONTINUE_ON_FAILURE)",Chrome 132.0.0.0,,,2025-01-22 11:16:24,2025-01-22 11:16:25,0.543s,PASSED
delay(2),Chrome 132.0.0.0,,,2025-01-22 11:16:25,2025-01-22 11:16:27,2.007s,PASSED
takeScreenshot(),Chrome 132.0.0.0,,,2025-01-22 11:16:27,2025-01-22 11:16:27,0.358s,PASSED
"click(findTestObject(""Inquery/Data user Admin/Button Kembali Detail""), CONTINUE_ON_FAILURE)",Chrome 132.0.0.0,,,2025-01-22 11:16:27,2025-01-22 11:16:28,0.518s,PASSED
delay(2),Chrome 132.0.0.0,,,2025-01-22 11:16:28,2025-01-22 11:16:30,2.006s,PASSED
takeScreenshot(),Chrome 132.0.0.0,,,2025-01-22 11:16:30,2025-01-22 11:16:30,0.377s,PASSED
,,,,,,,
Test Cases/Inquery/Aktivitas Nasabah/Cari Aktifitas Nasabah,Chrome 132.0.0.0,,,2025-01-22 11:16:30,2025-01-22 11:16:46,15.532s,PASSED
"click(findTestObject(""Menu Utama/Button Inquiry""), CONTINUE_ON_FAILURE)",Chrome 132.0.0.0,,,2025-01-22 11:16:30,2025-01-22 11:16:31,0.365s,PASSED
"enhancedClick(findTestObject(""Inquery/Button Aktivitas Nasabah""), CONTINUE_ON_FAILURE)",Chrome 132.0.0.0,,,2025-01-22 11:16:31,2025-01-22 11:16:32,1.605s,PASSED
delay(2),Chrome 132.0.0.0,,,2025-01-22 11:16:32,2025-01-22 11:16:34,2.015s,PASSED
takeScreenshot(),Chrome 132.0.0.0,,,2025-01-22 11:16:34,2025-01-22 11:16:35,0.351s,PASSED
"setText(findTestObject(""Inquery/Aktifitas Nasabah/Input Periode Awal""), ""29-12-2023"", CONTINUE_ON_FAILURE)",Chrome 132.0.0.0,,,2025-01-22 11:16:35,2025-01-22 11:16:35,0.685s,PASSED
"setText(findTestObject(""Inquery/Aktifitas Nasabah/Input Periode Akhir""), ""19-12-2024"", CONTINUE_ON_FAILURE)",Chrome 132.0.0.0,,,2025-01-22 11:16:35,2025-01-22 11:16:36,0.657s,PASSED
"setText(findTestObject(""Inquery/Aktifitas Nasabah/Input No rekening""), ""087750106929"", CONTINUE_ON_FAILURE)",Chrome 132.0.0.0,,,2025-01-22 11:16:36,2025-01-22 11:16:37,0.694s,PASSED
"setText(findTestObject(""Inquery/Aktifitas Nasabah/Input No Referensi""), ""65FB6E045BA4"", CONTINUE_ON_FAILURE)",Chrome 132.0.0.0,,,2025-01-22 11:16:37,2025-01-22 11:16:37,0.659s,PASSED
delay(2),Chrome 132.0.0.0,,,2025-01-22 11:16:37,2025-01-22 11:16:39,2.003s,PASSED
takeScreenshot(),Chrome 132.0.0.0,,,2025-01-22 11:16:39,2025-01-22 11:16:40,0.332s,PASSED
"click(findTestObject(""Inquery/Aktifitas Nasabah/Button Cari""), CONTINUE_ON_FAILURE)",Chrome 132.0.0.0,,,2025-01-22 11:16:40,2025-01-22 11:16:40,0.541s,PASSED
delay(2),Chrome 132.0.0.0,,,2025-01-22 11:16:40,2025-01-22 11:16:42,2.013s,PASSED
takeScreenshot(),Chrome 132.0.0.0,,,2025-01-22 11:16:42,2025-01-22 11:16:43,0.346s,PASSED
"click(findTestObject(""Inquery/Button Export Excel""), CONTINUE_ON_FAILURE)",Chrome 132.0.0.0,,,2025-01-22 11:16:43,2025-01-22 11:16:43,0.502s,PASSED
"delay(2, CONTINUE_ON_FAILURE)",Chrome 132.0.0.0,,,2025-01-22 11:16:43,2025-01-22 11:16:45,2.008s,PASSED
takeScreenshot(),Chrome 132.0.0.0,,,2025-01-22 11:16:45,2025-01-22 11:16:46,0.380s,PASSED
,,,,,,,
Test Cases/Inquery/Audit Trail Agent/Cari Trail Agent,Chrome 132.0.0.0,,,2025-01-22 11:16:46,2025-01-22 11:17:05,19.149s,PASSED
"click(findTestObject(""Menu Utama/Button Inquiry""), CONTINUE_ON_FAILURE)",Chrome 132.0.0.0,,,2025-01-22 11:16:46,2025-01-22 11:16:46,0.354s,PASSED
"enhancedClick(findTestObject(""Inquery/Button Audit Trail Agent""), CONTINUE_ON_FAILURE)",Chrome 132.0.0.0,,,2025-01-22 11:16:46,2025-01-22 11:16:47,0.805s,PASSED
delay(2),Chrome 132.0.0.0,,,2025-01-22 11:16:47,2025-01-22 11:16:49,2.017s,PASSED
takeScreenshot(),Chrome 132.0.0.0,,,2025-01-22 11:16:49,2025-01-22 11:16:49,0.359s,PASSED
"setText(findTestObject(""Inquery/Audit trail Agent/Input Periode Awal""), ""29-12-2023"")",Chrome 132.0.0.0,,,2025-01-22 11:16:49,2025-01-22 11:16:50,0.655s,PASSED
"setText(findTestObject(""Inquery/Audit trail Agent/Input Periode Akhir""), ""19-12-2024"")",Chrome 132.0.0.0,,,2025-01-22 11:16:50,2025-01-22 11:16:51,0.672s,PASSED
delay(2),Chrome 132.0.0.0,,,2025-01-22 11:16:51,2025-01-22 11:16:53,2.017s,PASSED
takeScreenshot(),Chrome 132.0.0.0,,,2025-01-22 11:16:53,2025-01-22 11:16:53,0.362s,PASSED
"click(findTestObject(""Inquery/Audit trail Agent/Button Cari""))",Chrome 132.0.0.0,,,2025-01-22 11:16:53,2025-01-22 11:16:54,0.578s,PASSED
delay(2),Chrome 132.0.0.0,,,2025-01-22 11:16:54,2025-01-22 11:16:56,2.009s,PASSED
takeScreenshot(),Chrome 132.0.0.0,,,2025-01-22 11:16:56,2025-01-22 11:16:56,0.352s,PASSED
"click(findTestObject(""Inquery/Button Export Excel""))",Chrome 132.0.0.0,,,2025-01-22 11:16:56,2025-01-22 11:17:02,6.278s,PASSED
delay(2),Chrome 132.0.0.0,,,2025-01-22 11:17:02,2025-01-22 11:17:04,2.006s,PASSED
takeScreenshot(),Chrome 132.0.0.0,,,2025-01-22 11:17:04,2025-01-22 11:17:05,0.357s,PASSED
,,,,,,,
Test Cases/Inquery/Audit Trail User/Cari Audit Trail User,Chrome 132.0.0.0,,,2025-01-22 11:17:05,2025-01-22 11:17:19,14.552s,PASSED
"click(findTestObject(""Menu Utama/Button Inquiry""), CONTINUE_ON_FAILURE)",Chrome 132.0.0.0,,,2025-01-22 11:17:05,2025-01-22 11:17:05,0.362s,PASSED
"enhancedClick(findTestObject(""Inquery/Button Audit Trail User""), CONTINUE_ON_FAILURE)",Chrome 132.0.0.0,,,2025-01-22 11:17:05,2025-01-22 11:17:06,0.777s,PASSED
delay(2),Chrome 132.0.0.0,,,2025-01-22 11:17:06,2025-01-22 11:17:08,2.007s,PASSED
takeScreenshot(),Chrome 132.0.0.0,,,2025-01-22 11:17:08,2025-01-22 11:17:09,0.370s,PASSED
"setText(findTestObject(""Inquery/Audit Trail User/Input Periode Awal""), ""28-12-2023"", CONTINUE_ON_FAILURE)",Chrome 132.0.0.0,,,2025-01-22 11:17:09,2025-01-22 11:17:09,0.656s,PASSED
"setText(findTestObject(""Inquery/Audit Trail User/Input Periode  Akhir""), ""19-12-2024"", CONTINUE_ON_FAILURE)",Chrome 132.0.0.0,,,2025-01-22 11:17:09,2025-01-22 11:17:10,0.679s,PASSED
