Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Login Logout,Chrome 134.0.0.0,,,2025-03-27 10:41:54,2025-03-27 10:42:15,21.036s,PASSED
,,,,,,,
Test Cases/Login Logout/Login,Chrome 134.0.0.0,,,2025-03-27 10:41:54,2025-03-27 10:42:14,19.286s,PASSED
openBrowser(URL),Chrome 134.0.0.0,,,2025-03-27 10:41:55,2025-03-27 10:41:59,3.799s,PASSED
maximizeWindow(),Chrome 134.0.0.0,,,2025-03-27 10:41:59,2025-03-27 10:41:59,0.119s,PASSED
"setText(findTestObject(""Login/Input Username""), username_Login)",Chrome 134.0.0.0,,,2025-03-27 10:41:59,2025-03-27 10:42:00,0.830s,PASSED
"setText(findTestObject(""Login/Input Password""), password_Login)",Chrome 134.0.0.0,,,2025-03-27 10:42:00,2025-03-27 10:42:00,0.699s,PASSED
delay(10),Chrome 134.0.0.0,,,2025-03-27 10:42:00,2025-03-27 10:42:10,10.034s,PASSED
takeScreenshot(),Chrome 134.0.0.0,,,2025-03-27 10:42:10,2025-03-27 10:42:11,0.470s,PASSED
"click(findTestObject(""Login/Button Login""))",Chrome 134.0.0.0,,,2025-03-27 10:42:11,2025-03-27 10:42:11,0.495s,PASSED
delay(2),Chrome 134.0.0.0,,,2025-03-27 10:42:11,2025-03-27 10:42:13,2.016s,PASSED
takeScreenshot(),Chrome 134.0.0.0,,,2025-03-27 10:42:13,2025-03-27 10:42:14,0.371s,PASSED
,,,,,,,
Test Cases/Login Logout/Logout,Chrome 134.0.0.0,,,2025-03-27 10:42:14,2025-03-27 10:42:15,1.458s,PASSED
"click(findTestObject(""Logout/Button Logout""))",Chrome 134.0.0.0,,,2025-03-27 10:42:14,2025-03-27 10:42:15,0.615s,PASSED
delay(0),Chrome 134.0.0.0,,,2025-03-27 10:42:15,2025-03-27 10:42:15,0.003s,PASSED
takeScreenshot(),Chrome 134.0.0.0,,,2025-03-27 10:42:15,2025-03-27 10:42:15,0.373s,PASSED
