Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Inquery,Chrome 134.0.0.0,,,2025-03-27 11:32:52,2025-03-27 11:34:40,1m - 48.349s,PASSED
,,,,,,,
Test Cases/Inquery/Data User Admin/Cari Data user Admin,Chrome 134.0.0.0,,,2025-03-27 11:32:52,2025-03-27 11:33:13,20.779s,PASSED
"click(findTestObject(""Menu Utama/Button Inquiry""), CONTINUE_ON_FAILURE)",Chrome 134.0.0.0,,,2025-03-27 11:32:52,2025-03-27 11:32:54,1.637s,PASSED
delay(2),Chrome 134.0.0.0,,,2025-03-27 11:32:54,2025-03-27 11:32:56,2.028s,PASSED
takeScreenshot(),Chrome 134.0.0.0,,,2025-03-27 11:32:56,2025-03-27 11:32:56,0.397s,PASSED
"click(findTestObject(""Inquery/Button Data User Admin""), CONTINUE_ON_FAILURE)",Chrome 134.0.0.0,,,2025-03-27 11:32:56,2025-03-27 11:32:57,0.780s,PASSED
"setText(findTestObject(""Inquery/Data user Admin/Input Username""), ""agni"", CONTINUE_ON_FAILURE)",Chrome 134.0.0.0,,,2025-03-27 11:32:57,2025-03-27 11:32:58,0.684s,PASSED
"setText(findTestObject(""Inquery/Data user Admin/Input Nama""), ""agni"", CONTINUE_ON_FAILURE)",Chrome 134.0.0.0,,,2025-03-27 11:32:58,2025-03-27 11:32:59,0.692s,PASSED
delay(2),Chrome 134.0.0.0,,,2025-03-27 11:32:59,2025-03-27 11:33:01,2.004s,PASSED
takeScreenshot(),Chrome 134.0.0.0,,,2025-03-27 11:33:01,2025-03-27 11:33:01,0.365s,PASSED
"click(findTestObject(""Inquery/Data user Admin/Button Cari""), CONTINUE_ON_FAILURE)",Chrome 134.0.0.0,,,2025-03-27 11:33:01,2025-03-27 11:33:01,0.417s,PASSED
delay(2),Chrome 134.0.0.0,,,2025-03-27 11:33:01,2025-03-27 11:33:03,2.015s,PASSED
takeScreenshot(),Chrome 134.0.0.0,,,2025-03-27 11:33:03,2025-03-27 11:33:04,0.361s,PASSED
"click(findTestObject(""Inquery/Data user Admin/Button Detail  Username""), CONTINUE_ON_FAILURE)",Chrome 134.0.0.0,,,2025-03-27 11:33:04,2025-03-27 11:33:04,0.583s,PASSED
delay(2),Chrome 134.0.0.0,,,2025-03-27 11:33:04,2025-03-27 11:33:06,2.015s,PASSED
takeScreenshot(),Chrome 134.0.0.0,,,2025-03-27 11:33:06,2025-03-27 11:33:07,0.365s,PASSED
"click(findTestObject(""Inquery/Data user Admin/Button Kembali Detail""), CONTINUE_ON_FAILURE)",Chrome 134.0.0.0,,,2025-03-27 11:33:07,2025-03-27 11:33:07,0.394s,PASSED
delay(2),Chrome 134.0.0.0,,,2025-03-27 11:33:07,2025-03-27 11:33:09,2.017s,PASSED
takeScreenshot(),Chrome 134.0.0.0,,,2025-03-27 11:33:09,2025-03-27 11:33:09,0.359s,PASSED
"click(findTestObject(""Inquery/Button Export Excel""), CONTINUE_ON_FAILURE)",Chrome 134.0.0.0,,,2025-03-27 11:33:09,2025-03-27 11:33:10,0.949s,PASSED
"delay(2, CONTINUE_ON_FAILURE)",Chrome 134.0.0.0,,,2025-03-27 11:33:10,2025-03-27 11:33:12,2.009s,PASSED
takeScreenshot(),Chrome 134.0.0.0,,,2025-03-27 11:33:12,2025-03-27 11:33:13,0.378s,PASSED
,,,,,,,
Test Cases/Inquery/Aktivitas Nasabah/Cari Aktifitas Nasabah,Chrome 134.0.0.0,,,2025-03-27 11:33:13,2025-03-27 11:33:28,15.015s,PASSED
"click(findTestObject(""Menu Utama/Button Inquiry""), CONTINUE_ON_FAILURE)",Chrome 134.0.0.0,,,2025-03-27 11:33:13,2025-03-27 11:33:14,0.384s,PASSED
"enhancedClick(findTestObject(""Inquery/Button Aktivitas Nasabah""), CONTINUE_ON_FAILURE)",Chrome 134.0.0.0,,,2025-03-27 11:33:14,2025-03-27 11:33:15,0.970s,PASSED
delay(2),Chrome 134.0.0.0,,,2025-03-27 11:33:15,2025-03-27 11:33:17,2.004s,PASSED
takeScreenshot(),Chrome 134.0.0.0,,,2025-03-27 11:33:17,2025-03-27 11:33:17,0.369s,PASSED
"setText(findTestObject(""Inquery/Aktifitas Nasabah/Input Periode Awal""), ""27-03-2025"", CONTINUE_ON_FAILURE)",Chrome 134.0.0.0,,,2025-03-27 11:33:17,2025-03-27 11:33:18,0.673s,PASSED
"setText(findTestObject(""Inquery/Aktifitas Nasabah/Input Periode Akhir""), ""27-03-2025"", CONTINUE_ON_FAILURE)",Chrome 134.0.0.0,,,2025-03-27 11:33:18,2025-03-27 11:33:18,0.711s,PASSED
"setText(findTestObject(""Inquery/Aktifitas Nasabah/Input No rekening""), ""085871740847"", CONTINUE_ON_FAILURE)",Chrome 134.0.0.0,,,2025-03-27 11:33:18,2025-03-27 11:33:19,0.732s,PASSED
"setText(findTestObject(""Inquery/Aktifitas Nasabah/Input No Referensi""), ""C55AD05AFB7F"", CONTINUE_ON_FAILURE)",Chrome 134.0.0.0,,,2025-03-27 11:33:19,2025-03-27 11:33:20,0.680s,PASSED
delay(2),Chrome 134.0.0.0,,,2025-03-27 11:33:20,2025-03-27 11:33:22,2.014s,PASSED
takeScreenshot(),Chrome 134.0.0.0,,,2025-03-27 11:33:22,2025-03-27 11:33:22,0.343s,PASSED
"click(findTestObject(""Inquery/Aktifitas Nasabah/Button Cari""), CONTINUE_ON_FAILURE)",Chrome 134.0.0.0,,,2025-03-27 11:33:22,2025-03-27 11:33:23,0.595s,PASSED
delay(2),Chrome 134.0.0.0,,,2025-03-27 11:33:23,2025-03-27 11:33:25,2.010s,PASSED
takeScreenshot(),Chrome 134.0.0.0,,,2025-03-27 11:33:25,2025-03-27 11:33:25,0.354s,PASSED
"click(findTestObject(""Inquery/Button Export Excel""), CONTINUE_ON_FAILURE)",Chrome 134.0.0.0,,,2025-03-27 11:33:25,2025-03-27 11:33:25,0.373s,PASSED
"delay(2, CONTINUE_ON_FAILURE)",Chrome 134.0.0.0,,,2025-03-27 11:33:25,2025-03-27 11:33:27,2.007s,PASSED
takeScreenshot(),Chrome 134.0.0.0,,,2025-03-27 11:33:27,2025-03-27 11:33:28,0.369s,PASSED
,,,,,,,
