Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Test Cases/Inquery/Audit Trail Agent/Cari Trail Agent,Chrome 136.0.0.0,,,16-05-2025 10:56:22,16-05-2025 10:56:40,17.253s,PASSED
"click(findTestObject(""Menu Utama/Button Inquiry""), CONTINUE_ON_FAILURE)",Chrome 136.0.0.0,,,16-05-2025 10:56:22,16-05-2025 10:56:25,2.499s,PASSED
"enhancedClick(findTestObject(""Inquery/Button Audit Trail Agent""), CONTINUE_ON_FAILURE)",Chrome 136.0.0.0,,,16-05-2025 10:56:25,16-05-2025 10:56:26,1.053s,PASSED
delay(2),Chrome 136.0.0.0,,,16-05-2025 10:56:26,16-05-2025 10:56:28,2.016s,PASSED
takeScreenshot(),Chrome 136.0.0.0,,,16-05-2025 10:56:28,16-05-2025 10:56:28,0.556s,PASSED
"setText(findTestObject(""Inquery/Audit trail Agent/Input Periode Awal""), ""27-03-2025"")",Chrome 136.0.0.0,,,16-05-2025 10:56:28,16-05-2025 10:56:29,0.980s,PASSED
"setText(findTestObject(""Inquery/Audit trail Agent/Input Periode Akhir""), ""27-03-2025"")",Chrome 136.0.0.0,,,16-05-2025 10:56:29,16-05-2025 10:56:30,1.003s,PASSED
delay(2),Chrome 136.0.0.0,,,16-05-2025 10:56:30,16-05-2025 10:56:32,2.008s,PASSED
takeScreenshot(),Chrome 136.0.0.0,,,16-05-2025 10:56:32,16-05-2025 10:56:33,0.413s,PASSED
"click(findTestObject(""Inquery/Audit trail Agent/Button Cari""))",Chrome 136.0.0.0,,,16-05-2025 10:56:33,16-05-2025 10:56:34,0.933s,PASSED
delay(2),Chrome 136.0.0.0,,,16-05-2025 10:56:34,16-05-2025 10:56:36,2.022s,PASSED
takeScreenshot(),Chrome 136.0.0.0,,,16-05-2025 10:56:36,16-05-2025 10:56:36,0.590s,PASSED
"click(findTestObject(""Inquery/Button Export Excel""))",Chrome 136.0.0.0,,,16-05-2025 10:56:36,16-05-2025 10:56:37,0.297s,PASSED
delay(2),Chrome 136.0.0.0,,,16-05-2025 10:56:37,16-05-2025 10:56:39,2.010s,PASSED
takeScreenshot(),Chrome 136.0.0.0,,,16-05-2025 10:56:39,16-05-2025 10:56:40,0.811s,PASSED
,,,,,,,
Test Cases/Inquery/Audit Trail User/Cari Audit Trail User,Chrome 136.0.0.0,,,16-05-2025 10:56:40,16-05-2025 10:56:55,15.609s,PASSED
"click(findTestObject(""Menu Utama/Button Inquiry""), CONTINUE_ON_FAILURE)",Chrome 136.0.0.0,,,16-05-2025 10:56:40,16-05-2025 10:56:40,0.293s,PASSED
"enhancedClick(findTestObject(""Inquery/Button Audit Trail User""), CONTINUE_ON_FAILURE)",Chrome 136.0.0.0,,,16-05-2025 10:56:40,16-05-2025 10:56:41,1.075s,PASSED
delay(2),Chrome 136.0.0.0,,,16-05-2025 10:56:41,16-05-2025 10:56:43,2.006s,PASSED
takeScreenshot(),Chrome 136.0.0.0,,,16-05-2025 10:56:43,16-05-2025 10:56:44,0.571s,PASSED
"setText(findTestObject(""Inquery/Audit Trail User/Input Periode Awal""), ""27-03-2025"", CONTINUE_ON_FAILURE)",Chrome 136.0.0.0,,,16-05-2025 10:56:44,16-05-2025 10:56:44,0.918s,PASSED
"setText(findTestObject(""Inquery/Audit Trail User/Input Periode  Akhir""), ""27-03-2025"", CONTINUE_ON_FAILURE)",Chrome 136.0.0.0,,,16-05-2025 10:56:44,16-05-2025 10:56:45,0.998s,PASSED
"setText(findTestObject(""Inquery/Audit Trail User/Input Username""), ""QA2"", CONTINUE_ON_FAILURE)",Chrome 136.0.0.0,,,16-05-2025 10:56:45,16-05-2025 10:56:46,0.548s,PASSED
"setText(findTestObject(""Inquery/Audit Trail User/Input No Referensi""), ""M9F109730495"", CONTINUE_ON_FAILURE)",Chrome 136.0.0.0,,,16-05-2025 10:56:46,16-05-2025 10:56:47,0.772s,PASSED
delay(2),Chrome 136.0.0.0,,,16-05-2025 10:56:47,16-05-2025 10:56:49,2.005s,PASSED
takeScreenshot(),Chrome 136.0.0.0,,,16-05-2025 10:56:49,16-05-2025 10:56:50,0.755s,PASSED
"click(findTestObject(""Inquery/Audit Trail User/Button Cari""), CONTINUE_ON_FAILURE)",Chrome 136.0.0.0,,,16-05-2025 10:56:50,16-05-2025 10:56:50,0.283s,PASSED
delay(2),Chrome 136.0.0.0,,,16-05-2025 10:56:50,16-05-2025 10:56:52,2.015s,PASSED
takeScreenshot(),Chrome 136.0.0.0,,,16-05-2025 10:56:52,16-05-2025 10:56:52,0.339s,PASSED
"click(findTestObject(""Inquery/Button Export Excel""), CONTINUE_ON_FAILURE)",Chrome 136.0.0.0,,,16-05-2025 10:56:52,16-05-2025 10:56:53,0.593s,PASSED
"delay(2, CONTINUE_ON_FAILURE)",Chrome 136.0.0.0,,,16-05-2025 10:56:53,16-05-2025 10:56:55,2.009s,PASSED
takeScreenshot(),Chrome 136.0.0.0,,,16-05-2025 10:56:55,16-05-2025 10:56:55,0.368s,PASSED
,,,,,,,
Test Cases/Inquery/Log SMS/Cari Log SMS,Chrome 136.0.0.0,,,16-05-2025 10:56:55,16-05-2025 10:57:07,12.363s,PASSED
"click(findTestObject(""Menu Utama/Button Inquiry""), CONTINUE_ON_FAILURE)",Chrome 136.0.0.0,,,16-05-2025 10:56:55,16-05-2025 10:56:56,0.625s,PASSED
"enhancedClick(findTestObject(""Inquery/Button Log SMS""), CONTINUE_ON_FAILURE)",Chrome 136.0.0.0,,,16-05-2025 10:56:56,16-05-2025 10:56:57,0.827s,PASSED
delay(0),Chrome 136.0.0.0,,,16-05-2025 10:56:57,16-05-2025 10:56:57,0.006s,PASSED
takeScreenshot(),Chrome 136.0.0.0,,,16-05-2025 10:56:57,16-05-2025 10:56:57,0.558s,PASSED
"setText(findTestObject(""Inquery/Log SMS/Input Periode Awal""), ""27-03-2025"")",Chrome 136.0.0.0,,,16-05-2025 10:56:57,16-05-2025 10:56:58,0.995s,PASSED
"setText(findTestObject(""Inquery/Log SMS/Input Periode Akhir""), ""27-03-2025"")",Chrome 136.0.0.0,,,16-05-2025 10:56:58,16-05-2025 10:56:59,0.987s,PASSED
delay(0),Chrome 136.0.0.0,,,16-05-2025 10:56:59,16-05-2025 10:56:59,0.002s,PASSED
takeScreenshot(),Chrome 136.0.0.0,,,16-05-2025 10:56:59,16-05-2025 10:57:00,0.356s,PASSED
